name,salary_from,salary_to,salary_currency,area_name,published_at
"Заместитель руководителя проекта по ИС (НВК, ВК, ТС, ОВИК)",100000,,RUR,Челябинск,2022-12-19T20:31:31+0300
Системный администратор Windows,1500,,BYR,Минск,2022-12-19T20:30:34+0300
Дизайнер для маркетплейсов,,,,Москва,2022-12-19T20:29:43+0300
Frontend-разработчик (middle),120000,,RUR,Рязань,2022-12-19T20:29:20+0300
Директолог/Программист,15000,50000,RUR,Анапа,2022-12-19T20:29:15+0300
Lead C++ developer,,,,Москва,2022-12-19T20:28:27+0300
"Менеджер-аналитик по работе с маркетплейсами Wildberries, OZON",40000,65000,RUR,Москва,2022-12-19T20:27:45+0300
Программист С/С++,,,,Москва,2022-12-19T20:27:21+0300
Country IT Manager,,,,Москва,2022-12-19T20:27:18+0300
Senior C++ Developer,,,,Москва,2022-12-19T20:27:04+0300
Мастер СТО,70000,,RUR,Санкт-Петербург,2022-12-19T20:25:06+0300
Фрезеровщик,70000,,RUR,Екатеринбург,2022-12-19T20:25:06+0300
Системный администратор,75000,,RUR,Электросталь,2022-12-19T20:25:05+0300
Механик по транспорту,52000,,RUR,Краснодар,2022-12-19T20:25:05+0300
Инженер-электронщик,50000,60000,RUR,Санкт-Петербург,2022-12-19T20:25:05+0300
Электромеханик,45000,60000,RUR,Москва,2022-12-19T20:25:04+0300
Инженер аудиовизуальных и мультимедийных проектов,60000,,RUR,Воронеж,2022-12-19T20:24:42+0300
Менеджер аудиовизуальных и мультимедийных проектов,50000,,RUR,Воронеж,2022-12-19T20:24:40+0300
Software Engineer (C/C++),,,,Санкт-Петербург,2022-12-19T20:24:04+0300
Middle/Senior PHP разработчик,230000,280000,RUR,Москва,2022-12-19T20:24:03+0300
Руководитель технической поддержки,,75000,RUR,Казань,2022-12-19T20:23:02+0300
"Креативный дизайнер, удаленно",40000,,RUR,Москва,2022-12-19T20:22:04+0300
Ведущий программист / разработчик 1C,,,,Москва,2022-12-19T20:20:43+0300
Project Manager,,,,Москва,2022-12-19T20:20:39+0300
Специалист по тестированию тарификации,,,,Минск,2022-12-19T20:19:35+0300
Механик,50000,70000,RUR,Казань,2022-12-19T20:19:28+0300
Токарь-универсал,40000,,RUR,Ярославль,2022-12-19T20:19:27+0300
Программист-разработчик 1C (Программист сопровождения),100000,120000,RUR,Москва,2022-12-19T20:19:20+0300
Журналист-редактор,,,,Москва,2022-12-19T20:18:58+0300
Программист 1с/Разработчик,50000,,RUR,Подольск (Московская область),2022-12-19T20:18:55+0300
